Generation;Generation max fitness;Generation min fitness;Generation average fitness;Global max fitness
6660;8849;8796;8845.3;8849
6670;8851;8693;8842.466666666667;8849
6680;8851;8769;8846.533333333333;8851
6690;8851;8775;8831.233333333334;8851
6700;8851;8651;8824.366666666667;8851
6710;8851;8692;8834.666666666666;8851
6720;8851;8654;8823.733333333334;8851
6730;8851;8814;8849.666666666666;8851
6740;8851;8663;8840.7;8851
6750;8852;8528;8826.133333333333;8852
6760;8852;8709;8840.8;8852
6770;8856;8828;8855.066666666668;8856
6780;8856;8807;8852.533333333333;8856
6790;8862;8799;8858.233333333334;8862
6800;8865;8820;8862.833333333334;8865
6810;8865;8796;8862.1;8865
6820;8865;8718;8857.133333333333;8865
6830;8865;8743;8860.566666666668;8865
6840;8865;8782;8862.233333333334;8865
6850;8865;8672;8858.566666666668;8865
6860;8865;8734;8853.066666666668;8865
6870;8865;8680;8849.866666666667;8865
6880;8865;8679;8846.6;8865
6890;8865;8747;8856.0;8865
6900;8867;8701;8852.2;8867
6910;8867;8801;8862.733333333334;8867
6920;8867;8811;8864.833333333334;8867
6930;8867;8713;8858.3;8867
6940;8867;8664;8858.266666666666;8867
6950;8867;8795;8863.3;8867
6960;8867;8588;8836.433333333332;8867
6970;8867;8637;8851.3;8867
6980;8867;8706;8852.666666666666;8867
6990;8870;8622;8838.0;8870
7000;8870;8790;8859.566666666668;8870
7010;8870;8814;8863.866666666667;8870
7020;8870;8741;8854.633333333333;8870
7030;8870;8809;8867.366666666667;8870
7040;8870;8803;8865.433333333332;8870
7050;8870;8860;8869.333333333334;8870
7060;8870;8738;8862.8;8870
7070;8870;8657;8844.0;8870
7080;8871;8747;8864.6;8871
7090;8871;8709;8863.9;8871
7100;8871;8663;8845.9;8871
7110;8871;8796;8856.933333333332;8871
7120;8871;8704;8846.466666666667;8871
7130;8872;8719;8848.8;8872
7140;8872;8766;8862.333333333334;8872
7150;8872;8793;8861.733333333334;8872
7160;8872;8786;8865.5;8872
7170;8872;8809;8868.2;8872
7180;8872;8725;8862.766666666666;8872
7190;8875;8762;8865.633333333333;8875
7200;8879;8694;8868.2;8879
7210;8879;8764;8865.4;8879
7220;8879;8793;8868.1;8879
7230;8880;8796;8873.4;8880
7240;8880;8723;8863.866666666667;8880
7250;8880;8667;8868.2;8880
7260;8880;8698;8848.366666666667;8880
7270;8880;8745;8870.9;8880
7280;8880;8662;8861.233333333334;8880
7290;8880;8659;8857.9;8880
7300;8880;8707;8862.166666666666;8880
7310;8881;8760;8872.333333333334;8881
7320;8883;8532;8836.866666666667;8883
7330;8883;8728;8869.166666666666;8883
7340;8883;8566;8833.733333333334;8883
7350;8883;8531;8856.4;8883
7360;8883;8710;8871.133333333333;8883
7370;8883;8556;8852.4;8883
7380;8883;8707;8872.833333333334;8883
7390;8883;8752;8863.966666666667;8883
7400;8883;8825;8881.066666666668;8883
7410;8883;8774;8879.233333333334;8883
7420;8884;8803;8874.166666666666;8884
7430;8884;8692;8851.066666666668;8884
7440;8884;8724;8874.733333333334;8884
7450;8884;8687;8860.1;8884
7460;8884;8472;8836.133333333333;8884
7470;8884;8483;8842.566666666668;8884
7480;8884;8612;8849.1;8884
7490;8884;8342;8828.366666666667;8884
7500;8884;8533;8828.733333333334;8884
7510;8884;8646;8838.9;8884
7520;8884;8460;8841.5;8884
7530;8884;8601;8858.9;8884
7540;8884;8737;8864.966666666667;8884
7550;8884;8744;8865.6;8884
7560;8884;8638;8862.133333333333;8884
7570;8884;8780;8880.466666666667;8884
7580;8886;8761;8881.833333333334;8886
7590;8886;8865;8884.033333333333;8886
7600;8886;8795;8881.0;8886
7610;8887;8812;8879.333333333334;8887
7620;8890;8694;8877.5;8890
7630;8890;8736;8878.166666666666;8890
7640;8890;8818;8883.466666666667;8890
7650;8890;8806;8883.466666666667;8890
7660;8890;8792;8878.466666666667;8890
7670;8890;8749;8878.1;8890
7680;8890;8766;8874.533333333333;8890
7690;8890;8793;8882.9;8890
7700;8890;8677;8870.9;8890
7710;8890;8634;8857.433333333332;8890
7720;8890;8650;8870.7;8890
7730;8891;8867;8888.533333333333;8891
7740;8891;8432;8824.3;8891
7750;8891;8682;8876.8;8891
7760;8891;8747;8861.833333333334;8891
7770;8891;8637;8870.7;8891
7780;8891;8729;8869.233333333334;8891
7790;8891;8794;8878.2;8891
7800;8891;8823;8886.433333333332;8891
7810;8891;8503;8849.266666666666;8891
7820;8891;8847;8888.033333333333;8891
7830;8891;8779;8886.966666666667;8891
7840;8891;8803;8877.366666666667;8891
7850;8891;8800;8881.733333333334;8891
7860;8891;8787;8879.833333333334;8891
7870;8891;8808;8884.1;8891
7880;8891;8772;8879.533333333333;8891
7890;8892;8768;8884.133333333333;8892
7900;8892;8800;8887.266666666666;8892
7910;8892;8711;8877.366666666667;8892
7920;8892;8713;8877.9;8892
7930;8892;8714;8875.833333333334;8892
7940;8892;8778;8883.966666666667;8892
7950;8892;8764;8876.8;8892
7960;8892;8847;8889.033333333333;8892
7970;8892;8821;8886.666666666666;8892
7980;8892;8752;8884.2;8892
7990;8892;8786;8886.133333333333;8892
8000;8892;8776;8883.5;8892
8010;8892;8539;8841.1;8892
8020;8892;8665;8843.233333333334;8892
8030;8893;8751;8881.933333333332;8893
8040;8897;8752;8889.9;8897
8050;8897;8897;8897.0;8897
8060;8897;8828;8894.466666666667;8897
8070;8897;8821;8894.166666666666;8897
8080;8897;8792;8881.6;8897
8090;8897;8788;8889.733333333334;8897
8100;8897;8805;8888.433333333332;8897
8110;8897;8780;8889.1;8897
8120;8897;8743;8875.633333333333;8897
8130;8897;8856;8893.266666666666;8897
8140;8897;8784;8888.2;8897
8150;8897;8809;8888.333333333334;8897
8160;8897;8791;8887.733333333334;8897
8170;8897;8707;8872.866666666667;8897
8180;8897;8852;8892.7;8897
8190;8897;8841;8894.066666666668;8897
8200;8897;8715;8887.9;8897
8210;8897;8772;8883.866666666667;8897
8220;8897;8749;8892.066666666668;8897
8230;8897;8818;8889.5;8897
8240;8897;8758;8888.466666666667;8897
8250;8897;8740;8877.533333333333;8897
8260;8898;8714;8880.9;8897
8270;8898;8762;8888.433333333332;8898
8280;8898;8784;8883.066666666668;8898
8290;8898;8780;8890.966666666667;8898
8300;8905;8760;8895.9;8905
8310;8905;8755;8898.0;8905
8320;8905;8846;8901.4;8905
8330;8905;8835;8898.766666666666;8905
8340;8905;8824;8900.433333333332;8905
8350;8905;8845;8900.733333333334;8905
8360;8905;8827;8902.3;8905
8370;8905;8758;8896.533333333333;8905
8380;8905;8865;8902.9;8905
8390;8905;8821;8900.733333333334;8905
8400;8905;8802;8895.966666666667;8905
8410;8905;8700;8887.2;8905
8420;8905;8820;8894.633333333333;8905
8430;8906;8781;8895.566666666668;8905
8440;8906;8863;8904.566666666668;8906
8450;8906;8732;8888.366666666667;8906
8460;8916;8695;8891.066666666668;8916
8470;8916;8764;8898.6;8916
8480;8916;8808;8903.9;8916
8490;8916;8749;8894.266666666666;8916
8500;8916;8662;8893.266666666666;8916
8510;8916;8873;8914.466666666667;8916
8520;8916;8833;8912.833333333334;8916
8530;8916;8771;8906.433333333332;8916
8540;8916;8718;8902.233333333334;8916
8550;8916;8853;8912.533333333333;8916
8560;8916;8828;8908.066666666668;8916
8570;8916;8864;8914.266666666666;8916
8580;8916;8862;8913.666666666666;8916
8590;8916;8812;8907.0;8916
8600;8923;8583;8879.966666666667;8923
8610;8923;8796;8909.766666666666;8923
8620;8926;8801;8916.166666666666;8926
8630;8926;8890;8924.8;8926
8640;8926;8791;8918.133333333333;8926
8650;8926;8914;8925.266666666666;8926
8660;8926;8790;8908.566666666668;8926
8670;8926;8814;8922.266666666666;8926
8680;8926;8824;8918.866666666667;8926
8690;8926;8824;8922.6;8926
8700;8926;8831;8921.5;8926
8710;8926;8840;8923.133333333333;8926
8720;8926;8779;8918.8;8926
8730;8930;8784;8919.933333333332;8930
8740;8930;8784;8913.433333333332;8930
8750;8930;8807;8921.933333333332;8930
8760;8931;8866;8927.733333333334;8931
8770;8931;8842;8921.233333333334;8931
8780;8931;8866;8925.566666666668;8931
8790;8931;8759;8909.7;8931
8800;8931;8887;8928.2;8931
8810;8931;8866;8927.233333333334;8931
8820;8931;8847;8919.6;8931
8830;8931;8753;8918.166666666666;8931
8840;8931;8831;8923.2;8931
8850;8931;8887;8926.8;8931
8860;8931;8697;8904.333333333334;8931
8870;8931;8703;8902.7;8931
8880;8931;8441;8873.6;8931
8890;8931;8719;8920.333333333334;8931
8900;8931;8816;8919.6;8931
8910;8931;8805;8903.133333333333;8931
8920;8931;8784;8908.733333333334;8931
8930;8931;8357;8875.633333333333;8931
8940;8931;8709;8885.7;8931
8950;8931;8612;8888.433333333332;8931
8960;8931;8294;8855.633333333333;8931
8970;8931;8391;8860.866666666667;8931
8980;8931;8168;8863.433333333332;8931
8990;8931;8765;8886.933333333332;8931
9000;8931;8583;8898.966666666667;8931
9010;8931;8812;8917.066666666668;8931
9020;8931;8748;8916.833333333334;8931
9030;8931;8726;8904.866666666667;8931
9040;8931;8859;8918.9;8931
9050;8931;8818;8922.8;8931
9060;8931;8561;8869.433333333332;8931
9070;8931;8732;8886.533333333333;8931
9080;8938;8887;8934.5;8938
9090;8938;8856;8925.066666666668;8938
9100;8938;8825;8929.5;8938
9110;8941;8851;8935.6;8941
9120;8942;8836;8930.466666666667;8942
9130;8942;8780;8935.066666666668;8942
9140;8942;8798;8933.133333333333;8942
9150;8943;8775;8932.4;8943
9160;8943;8873;8940.5;8943
9170;8943;8859;8937.866666666667;8943
9180;8945;8881;8941.033333333333;8945
9190;8952;8847;8944.033333333333;8952
9200;8953;8856;8949.566666666668;8953
9210;8953;8953;8953.0;8953
9220;8953;8820;8942.466666666667;8953
9230;8953;8912;8950.3;8953
9240;8954;8784;8943.933333333332;8953
9250;8954;8831;8948.6;8954
9260;8954;8879;8947.933333333332;8954
9270;8954;8797;8948.0;8954
9280;8954;8781;8930.833333333334;8954
9290;8954;8782;8935.133333333333;8954
9300;8954;8828;8945.1;8954
9310;8954;8792;8939.966666666667;8954
9320;8954;8741;8929.033333333333;8954
9330;8954;8840;8946.0;8954
9340;8954;8923;8952.633333333333;8954
9350;8954;8903;8951.2;8954
9360;8954;8891;8949.833333333334;8954
9370;8954;8814;8947.266666666666;8954
9380;8955;8916;8953.2;8955
